,Unnamed: 0,text,mod_text
622,622,"""Kalau kemampuan itu kemudian ditingkatkan dalam kursi kepresidenan. Insya Allah bangsa Indonesia akan lebih baik k… https://t.co/pWhpdrlzl9","['kalau', 'mampu', 'itu', 'kemudian', 'tingkat', 'dalam', 'kursi', 'presiden', 'insya', 'allah', 'bangsa', 'indonesia', 'akan', 'lebih', 'baik', 'k']"
623,623,Muzani menilai Prabowo adalah orang yang tepat untuk memimpin Indonesia ke depan karena memiliki visi yang jelas da… https://t.co/X1YOWbA7hx,"['muzani', 'nilai', 'prabowo', 'adalah', 'orang', 'yang', 'tepat', 'untuk', 'pimpin', 'indonesia', 'ke', 'depan', 'karena', 'milik', 'visi', 'yang', 'jelas', 'da']"
624,624,Muzani mengatakan pemimpin perlu memiliki visi yang jelas menghadapi situasi tidak menentu seperti saat ini. Visi i… https://t.co/Mkss0I6U65,"['muzani', 'kata', 'pimpin', 'perlu', 'milik', 'visi', 'yang', 'jelas', 'hadap', 'situasi', 'tidak', 'tentu', 'seperti', 'saat', 'ini', 'visi', 'i']"
625,625,"""Dalam kancah internasional, Prabowo selalu dihormati sebagai Menteri Pertahanan dari republik besar,"" kata Muzani… https://t.co/LL06RjfXZn","['dalam', 'kancah', 'internasional', 'prabowo', 'selalu', 'hormat', 'bagai', 'menteri', 'tahan', 'dari', 'republik', 'besar', 'kata', 'muzani']"
626,626,Ahmad Muzani yakin Indonesia akan menjadi lebih baik jika Prabowo menjadi presiden Indonesia berikutnya.… https://t.co/SNAwRv0oV1,"['ahmad', 'muzani', 'yakin', 'indonesia', 'akan', 'jadi', 'lebih', 'baik', 'jika', 'prabowo', 'jadi', 'presiden', 'indonesia', 'ikut']"
627,627,Ahmad Muzani yakin Indonesia akan menjadi lebih baik jika Prabowo menjadi presiden Indonesia berikutnya. Mending Pr… https://t.co/n7CYM86gCk,"['ahmad', 'muzani', 'yakin', 'indonesia', 'akan', 'jadi', 'lebih', 'baik', 'jika', 'prabowo', 'jadi', 'presiden', 'indonesia', 'ikut', 'mending', 'pr']"
628,628,Sekjen Partai Gerindra Ahmad Muzani menyebut Ketua Umumnya yakni Prabowo Subianto dihormati di kancah internasional… https://t.co/IEmNZ95Mnk,"['sekjen', 'partai', 'gerindra', 'ahmad', 'muzani', 'sebut', 'ketua', 'umum', 'yakni', 'prabowo', 'subianto', 'hormat', 'di', 'kancah', 'internasional']"
629,629,@HuseinBooy @kemendespdtt @halimiskandarnu @jokowi @prabowo @HAMJASOULISA1 🙏👍👍 mantappp,"['huseinbooy', 'kemendespdtt', 'halimiskandarnu', 'jokowi', 'prabowo', 'hamjasoulisa', 'mantappp']"
630,630,"“Kami yakin Prabowo juga sosok yang kompromistik demi bangsa negara, punya komitmen kuat terhadap jiwa patriotik,”… https://t.co/YmME1Eb6QV","['kami', 'yakin', 'prabowo', 'juga', 'sosok', 'yang', 'kompromistik', 'demi', 'bangsa', 'negara', 'punya', 'komitmen', 'kuat', 'hadap', 'jiwa', 'patriotik']"
631,631,@_SEKNAS_RI @MamatOking3 @Budi_Dharma88 @Allyriva19 @kapten11 @EAbadi7 @SomarwaneSefnat @Nengnengpondasi @RealYany… https://t.co/n72AwlIE3r,"['seknasri', 'mamatoking', 'budidharma', 'allyriva', 'kapten', 'eabadi', 'somarwanesefnat', 'nengnengpondasi', 'realyany']"
